"","habitat","sex","Season","yvar","SE","df","tvar","xvar"
"1","Bottomland","Female","Breeding",0.186370614655281,0.0426687640250947,86.8828530936255,"1","Bottomland"
"4","Bottomland","Male","Breeding",0.53431243697132,0.129026596136476,138.198230415061,"1","Bottomland"
"7","Bottomland","Female","Summer",0.208489502056607,0.0481255780788003,94.8898918841417,"1","Bottomland"
"10","Bottomland","Male","Summer",0.332037484428065,0.09158234093377,194.418337169598,"1","Bottomland"
"13","Bottomland","Female","Fall",0.286306475786528,0.0614062700952926,71.6430807418786,"1","Bottomland"
"16","Bottomland","Male","Fall",0.366274926523464,0.0765849844898544,85.2847140781735,"1","Bottomland"
"2","Pine","Female","Breeding",0.120210856472048,0.0283012298657607,96.7101947108985,"1","Pine"
"5","Pine","Male","Breeding",1.16858038813839,0.29614489322236,119.377263013143,"1","Pine"
"8","Pine","Female","Summer",0.191564158893866,0.0502034500259921,138.053243209262,"1","Pine"
"11","Pine","Male","Summer",0.881672964367029,0.213293068347849,105.96344034524,"1","Pine"
"14","Pine","Female","Fall",0.3134869745676,0.0666752409559654,64.7658420887341,"1","Pine"
"17","Pine","Male","Fall",0.76928097637848,0.164487082315529,69.7656708974904,"1","Pine"
"3","Riparian","Female","Breeding",0.173423295356539,0.0530802328575101,59.9387434557542,"1","Riparian"
"6","Riparian","Male","Breeding",0.776076663662039,0.242480211285396,65.5945603281425,"1","Riparian"
"9","Riparian","Female","Summer",0.351417343680854,0.112670884503693,71.8152448550957,"1","Riparian"
"12","Riparian","Male","Summer",1.38228847715391,0.44307180648685,71.7606909541758,"1","Riparian"
"15","Riparian","Female","Fall",0.216892134887878,0.0685673559224267,68.8654133366662,"1","Riparian"
"18","Riparian","Male","Fall",1.17174987069316,0.364565229059523,64.6036959577569,"1","Riparian"
